disbursed,via,cur,amount,value,recipient,purpose
2007-06-06,direct,USD,"10,000","$10,000",Lifeboat Foundation,Donation
2007-10-21,direct,USD,300,$300,Lifeboat Foundation,Naval fund donation
2008-06-02,direct,USD,300,$300,Lifeboat Foundation,Donation
2009-03-17,direct,USD,"5,000","$5,000",Singularity Institute for Artificial Intelligence,Donation
2010-07-27,direct,EEK,"120,500","$10,000",Singularity Institute for Artificial Intelligence,Donation
2011-02-15,direct,USD,"100,000","$100,000",Singularity Institute for Artificial Intelligence,Donation
2011-11-07,direct,USD,"50,000","$50,000",Singularity Institute for Artificial Intelligence,Donation
2011-12-30,direct,USD,"50,000","$50,000",Singularity Institute for Artificial Intelligence,Donation
2012-01-12,direct,USD,"10,000","$10,000",Geoffrey Anders,Donation to Leverage Research
2012-03-20,direct,USD,"10,000","$10,000",Leverage Research,Donation
2012-03-30,direct,USD,"5,000","$5,000",Blue Marble Space,Donation
2012-06-19,direct,USD,"10,000","$10,000",Leverage Research,Donation
2012-07-23,direct,USD,"10,000","$10,000",Leverage Research,Donation
2012-08-02,direct,USD,"108,000","$108,000",Singularity Institute for Artificial Intelligence,Donation
2012-09-06,direct,USD,"5,000","$5,000","80,000 Hours",Donation
2012-09-25,direct,USD,"5,000","$5,000",Blue Marble Space,Donation
2012-10-26,direct,USD,"29,000","$29,000",Leverage Research,Donation
2012-11-12,direct,USD,"5,000","$5,000",Blue Marble Space,Donation
2012-12-27,direct,USD,"31,000","$31,000",Institute for Philosophical Research,Donation
2013-01-18,direct,USD,"5,000","$5,000",Blue Marble Space,Donation
2013-02-18,direct,GBP,"3,232","$5,000",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2013-03-25,direct,USD,"25,000","$25,000",Institute for Philosophical Research,Donation
2013-05-10,direct,GBP,"3,250","$5,001",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2013-08-19,direct,GBP,"65,000","$101,671",University of Cambridge – Gift Registry,CSER donation according to the donation agreement of august 15 2013
2013-09-04,direct,GBP,"3,210","$5,008",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2013-09-20,direct,USD,"25,000","$25,000",Leverage Research,Donation
2013-09-24,direct,USD,"100,000","$100,000",Machine Intelligence Research Institute,Donation
2013-10-01,direct,USD,"15,000","$15,000","80,000 Hours",Donation
2013-10-18,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2013-11-13,direct,USD,"25,000","$25,000",Leverage Research,Donation
2013-12-04,direct,GBP,"3,060","$5,008",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy (usd 5000)"
2013-12-27,direct,USD,"25,000","$25,000",Leverage Research,Donation
2013-12-30,direct,USD,"5,000","$5,000","80,000 Hours",Donation
2014-03-04,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2014-03-04,direct,GBP,"15,000","$25,019",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2014-03-14,direct,GBP,"3,100","$5,151","80,000 Hours",Donation
2014-03-27,direct,USD,"25,000","$25,000",Leverage Research,Donation
2014-06-09,Solenum,GBP,"15,000","$25,214",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($5000)"
2014-06-10,direct,USD,"25,000","$25,000",Leverage Research,Donation
2014-07-22,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2014-07-29,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2014-08-15,Solenum,GBP,"32,000","$53,407",University of Cambridge – Gift Registry,CSER donation according to the donation agreement of august 15 2013
2014-08-18,direct,USD,"100,000","$100,000",Machine Intelligence Research Institute,Donation
2014-09-08,direct,USD,"39,000","$39,000",Foundational Questions Institute,Donation (essay contest prize money)
2014-09-09,Solenum,GBP,"15,000","$24,163",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2014-09-11,direct,USD,"25,000","$25,000",Leverage Research,Donation
2014-10-03,direct,GBP,"12,500","$20,070",Centre for Effective Altruism,Donation
2014-11-20,Solenum,GBP,251,$394,TEDx,General support
2014-11-20,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2014-11-24,Solenum,EUR,"4,887","$6,063",TEDx,General support
2014-12-12,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2014-12-22,Solenum,EUR,"1,454","$1,781",Solenum (costs),M&G
2014-12-22,Solenum,GBP,"32,000","$50,031",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($50000)"
2014-12-30,direct,GBP,"6,500","$10,099","80,000 Hours",Donation (10 000 usd)
2015-01-16,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2015-03-31,Solenum,GBP,"26,140","$38,721",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy (£16k + $15k)"
2015-03-31,direct,USD,"10,000","$10,000",Leverage Research,Donation
2015-05-11,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2015-07-03,direct,USD,"6,333","$6,333",Centre for Effective Altruism USA,Ccoop donation
2015-07-03,direct,USD,"25,000","$25,000",Leverage Research,Donation
2015-07-10,Solenum,GBP,"6,400","$9,895",Centre for Effective Altruism,Donation
2015-07-10,Solenum,GBP,"16,000","$24,737",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($25k)"
2015-08-12,Solenum,GBP,"32,000","$49,918",University of Cambridge – Gift Registry,CSER donation according to the donation agreement of august 15 2013
2015-08-12,direct,USD,"50,000","$50,000",Machine Intelligence Research Institute,Donation
2015-09-03,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2015-09-10,direct,USD,"25,000","$25,000",Leverage Research,Donation
2015-09-10,direct,USD,"25,000","$25,000",Machine Intelligence Research Institute,Donation
2015-10-02,direct,USD,"25,000","$25,000",Future of Life Institute,Donation
2015-10-15,direct,GBP,"6,500","$10,052",Centre for Effective Altruism,Donation
2015-10-15,direct,USD,"5,000","$5,000",Machine Intelligence Research Institute,Donation to AI Impacts
2015-11-11,Metaplanet,EUR,"50,000","$53,702",Tartu Ülikooli Sihtasutus,Annetus Tartu Ülikooli Teaduskooli Fondi (sending science olympiad winners to CFAR)
2015-11-23,Solenum,GBP,"16,400","$24,863",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($25k)"
2015-11-29,Solenum,EUR,"6,766","$7,175",TEDx,General support
2015-12-01,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2015-12-08,Solenum,EUR,"4,018","$4,366",Solenum (costs),M&G
2015-12-30,direct,USD,"25,000","$25,000",Leverage Research,Donation
2015-12-31,direct,USD,"25,000","$25,000",Leverage Research,Donation
2016-01-05,Solenum,GBP,"3,400","$4,993",Centre for Effective Altruism,Donation to Effective Altruism Outreach
2016-01-12,Solenum,GBP,"10,000","$14,462",Centre for Effective Altruism,Donation to Global Priorities Project
2016-03-09,Solenum,GBP,"17,600","$25,012",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($25k)"
2016-03-10,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2016-03-10,direct,USD,"25,000","$25,000",Leverage Research,Donation
2016-03-10,direct,USD,"25,000","$25,000",Machine Intelligence Research Institute,Donation
2016-03-10,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2016-05-02,direct,USD,"5,000","$5,000",Bulletin of the Atomic Scientists,Donation
2016-05-02,direct,USD,"5,000","$5,000",University of Louisville Foundation,Donation to computer engineering and computer science department (roman yampolskiy)
2016-05-23,Solenum,GBP,"6,800","$9,858",Centre for Effective Altruism,"Donation to 80,000 Hours"
2016-06-09,direct,USD,"25,000","$25,000",Machine Intelligence Research Institute,Donation
2016-06-09,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2016-07-05,Solenum,GBP,"18,500","$24,331",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($25k)"
2016-07-22,direct,USD,"10,500","$10,500",Machine Intelligence Research Institute,Donation in the name of scott siskind
2016-07-29,direct,USD,"25,000","$25,000",Institute for Philosophical Research,Donation
2016-08-04,direct,USD,"5,000","$5,000",Bulletin of the Atomic Scientists,Donation
2016-08-25,Solenum,GBP,"7,600","$10,046",Centre for Effective Altruism,"Donation to 80,000 Hours"
2016-09-09,Solenum,EUR,"50,000","$56,232",Tartu Ülikooli Sihtasutus,Annetus Tartu Ülikooli Teaduskooli Fondi (sending science olympiad winners to CFAR)
2016-09-15,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2016-10-06,direct,USD,"25,000","$25,000",Institute for Philosophical Research,Donation
2016-10-11,Solenum,EUR,"9,634","$10,693",Tartu Ülikool,Annetus TÜ arvutiteaduse instituudile (AI control project)
2016-10-25,direct,USD,"25,000","$25,000",Institute for Philosophical Research,Donation
2016-11-23,Solenum,GBP,"8,000","$9,918",Centre for Effective Altruism,"Donation to 80,000 Hours"
2016-11-30,direct,EUR,"4,700","$4,994",Lilian Van Der Bijl,Donation to ai safety aarhus (eng lilian van der bijl/ebj)
2016-12-05,Solenum,EUR,"6,371","$6,779",TEDx,General support
2016-12-09,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2016-12-12,Solenum,EUR,"5,234","$5,536",Solenum (costs),M&G
2016-12-30,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2017-01-23,direct,GBP,"16,000","$19,902",Andrew Snyder-Beattie,Donation
2017-01-23,direct,USD,"25,000","$25,000",Institute for Philosophical Research,Donation
2017-01-24,direct,USD,"25,000","$25,000",Institute for Philosophical Research,Donation
2017-01-25,Solenum,GBP,"8,000","$10,044",Centre for Effective Altruism,"Donation to 80,000 Hours"
2017-03-06,direct,USD,"25,000","$25,000",Machine Intelligence Research Institute,Donation
2017-03-12,Solenum,EUR,"9,634","$10,236",Tartu Ülikool,Annetus TÜ arvutiteaduse instituudile (AI control project)
2017-04-20,direct,USD,"25,000","$25,000",Institute for Philosophical Research,Donation
2017-04-21,Solenum,GBP,"7,800","$9,982",Centre for Effective Altruism,"Donation to 80,000 Hours"
2017-05-25,direct,USD,"5,000","$5,000",Bulletin of the Atomic Scientists,Donation
2017-06-05,direct,USD,"25,000","$25,000",Machine Intelligence Research Institute,Donation
2017-06-20,Solenum,EUR,"50,000","$55,717",Tartu Ülikooli Sihtasutus,Annetus Tartu Ülikooli Teaduskooli Fondi (sending science olympiad winners to CFAR)
2017-07-17,Solenum,GBP,"10,000","$13,082",University of Oxford Development Trust,Donation to Oxford CS department (for Jelena Luketina)
2017-09-13,BERI,USD,"100,000","$100,000",Machine Intelligence Research Institute,Unrestricted grant
2017-10-27,BERI,USD,"100,000","$100,000",Future of Life Institute,Unrestricted grant
2017-10-27,BERI,USD,"50,000","$50,000",Future of Life Institute,Unrestricted grant
2017-11-13,Solenum,GBP,"26,700","$34,977",Centre for Effective Altruism,"Donation to 80,000 Hours"
2017-12-01,Solenum,EUR,"2,632","$3,131",Solenum (costs),M&G
2017-12-15,BERI,USD,"25,000","$25,000",Institute for Philosophical Research,Unrestricted grant
2017-12-16,BERI,USD,"100,000","$100,000",BERI (costs),Overhead costs
2017-12-18,BERI,USD,"20,000","$20,000",Association for the Advancement of Artificial Intelligence,"General support for the 2018 conference on AI, Ethics, and Society"
2017-12-27,BERI,USD,"100,000","$100,000",Center for Applied Rationality,Unrestricted grant
2017-12-28,BERI,USD,"100,000","$100,000",Machine Intelligence Research Institute,Unrestricted grant
2017-12-31,BERI,USD,"50,000","$50,000",BERI (CSER),Funds diverted to CSER program
2017-12-31,BERI,USD,"25,000","$25,000",BERI (XES),Funds diverted to XES program
2017-12-31,BERI,USD,"7,200","$7,200",BERI (costs),Overhead costs
2018-01-02,BERI,USD,"32,622","$32,622",Miles Brundage,Academic Research Award
2018-01-11,BERI,USD,"300,000","$300,000",BERI (FHI),Funds diverted to FHI program
2018-01-24,BERI,USD,"25,000","$25,000",Social and Environmental Entrepreneurs,General support for Global Catastrophic Risks Institute
2018-01-25,direct,USD,"4,000","$4,000",Private individual in xrisk community,Donation
2018-01-26,BERI,USD,"800,000","$800,000",Center for Applied Rationality,Unrestricted grant
2018-02-01,direct,USD,"4,000","$4,000",Private individual in xrisk community,Gift
2018-02-08,BERI,USD,"100,000","$100,000",Center for Applied Rationality,General support for activities to develop and improve the website LessWrong 2.0
2018-03-17,BERI,USD,"300,000","$300,000",BERI (costs),Overhead costs
2018-03-27,Solenum,GBP,"17,600","$24,915",Centre for Effective Altruism,"Donation to 80,000 Hours ($25k)"
2018-03-30,BERI,USD,"5,000","$5,000",Association for the Advancement of Artificial Intelligence,"General support for the 2018 AAAI Spring Symposium on AI and Society: Ethics, Safety and Trustworthiness in Intelligent Agents"
2018-04-06,BERI,USD,"200,000","$200,000",Cambridge in America,General support for Centre for the Study of Existential Risk
2018-04-10,BERI,USD,"300,000","$300,000",Future of Life Institute,Unrestricted grant
2018-05-09,Solenum,GBP,"18,500","$25,073",Centre for Effective Altruism,"Donation to 80,000 Hours ($25k)"
2018-06-22,BERI,USD,"81,636","$81,636",BERI (costs),Overhead costs
2018-06-27,Solenum,EUR,"50,000","$58,139",Tartu Ülikooli Sihtasutus,Annetus Tartu Ülikooli Teaduskooli Fondi (sending science olympiad winners to CFAR)
2018-07-24,BERI,USD,"300,000","$300,000",Center for Applied Rationality,Unrestricted grant
2018-07-24,BERI,USD,"400,000","$400,000",UC Berkeley Foundation,Unrestricted grant
2018-08-06,Solenum,GBP,"10,000","$12,964",University of Oxford Development Trust,Funding for Jelena Luketina's Oxford PhD
2018-08-29,Solenum,GBP,"100,000","$129,301",University of Cambridge – Gift Registry,Solenum – CSER donation
2018-09-04,BERI,USD,"150,000","$150,000",Center for Applied Rationality,General support for activities to develop and improve the website LessWrong 2.0
2018-09-07,BERI,USD,"50,000","$50,000",Institute for Philosophical Research,Unrestricted grant
2018-09-10,BERI,USD,"200,000","$200,000",BERI (XES),Funds diverted to XES program
2018-09-24,BERI,USD,"20,000","$20,000",Jamison Bryce Hidysmith,Bryce will analyze global risks from technology through a geopolitical lens
2018-09-24,BERI,USD,400,$400,Jordan Alexander,Jordan will host several meetings at Stanford EA and the Stanford Transhumanist Association
2018-09-24,BERI,USD,"13,963","$13,963",Luca Rade,Luca will research the implications of coarse-graining by an agent in a complex environment for AI alignment
2018-09-26,BERI,USD,"18,104","$18,104",David Manheim,"David will research aspects of Goodhart’s law, focusing on multi-agent dynamics"
2018-10-02,BERI,USD,"55,000","$55,000",Baeo Maltinsky,Baeo will further his research on AI and technology trends
2018-10-02,BERI,USD,"10,000","$10,000",Cambridge in America,General support for Leverhulme Centre for the Future of Intelligence
2018-10-02,BERI,USD,"51,000","$51,000",Colleen McKenzie,The grant will support Colleen's research on AI timelines and the processes that produce technical and scientific progress
2018-10-02,BERI,USD,"49,473","$49,473",Roxanne Heston,"Roxanne will work on a variety of AI policy projects in Washington, D.C"
2018-10-02,BERI,USD,"25,200","$25,200",Zoe Cremer,"The grant will support Zoe as a visiting fellow at CFI, where she will research disagreements about the amount and kind of structure required for AGI"
2018-10-04,Solenum,GBP,"18,900","$24,534",Centre for Effective Altruism,"Donation to 80,000 Hours ($25k)"
2018-10-09,BERI,USD,"96,576","$96,576",Stephanie Zolayvar,Stephanie will train herself in circling and host circles for people who are promising contributors to reducing x-risk
2018-10-10,BERI,USD,"151,000","$151,000",Ben Goldhaber,The grant will support his project (co-lead by Jacob Lagerros) to bring x-risk-relevant questions to popular prediction platforms
2018-10-10,BERI,USD,"10,000","$10,000",Jessica Taylor,Jessica will work on her research in AI alignment and other areas
2018-10-15,BERI,USD,"20,000","$20,000",Association for the Advancement of Artificial Intelligence,"General support for the 2019 Artificial Intelligence, Ethics, and Society conference"
2018-10-18,BERI,USD,"4,000","$4,000",EA Sweden,Effective Altruism Sweden will support Markus Stoor’s project to coordinate two follow-up lunch-to-lunch meetings in Sweden for x-risk-focused individuals
2018-10-23,BERI,USD,"24,000","$24,000",Sarah D Spikes,Sarah will implement improvements in support for the Rationality and Effective Altruism Community Hub
2018-10-24,BERI,USD,"100,000","$100,000",Justin Shovelain,"Justin will lead and develop “Convergence Analysis”, a new group focused on x-risk strategy research"
2018-10-31,BERI,USD,"10,848","$10,848",(Aiken) Sebastian Farquhar,Sebastian will attend conferences and purchase compute for experiments related to his PhD research on uncertainty modeling in neural networks
2018-12-05,Solenum,EUR,"1,785","$2,024",Solenum (costs),M&G
2018-12-27,BERI,USD,"44,353","$44,353",Lucius Caviola,Lucius will conduct research on the psychology of existential risk
2019-01-22,BERI,USD,"25,000","$25,000",Leverage Research,Unrestricted grant
2019-01-24,BERI,USD,"71,961","$71,961",Stefan Schubert,Stefan will conduct research on the psychology of existential risk
2019-02-26,BSF,USD,"600,000","$600,000",Machine Intelligence Research Institute,Unrestricted grant
2019-03-12,BSF,USD,"25,000","$25,000",Alliance to Feed the Earth in Disasters,Unrestricted grant
2019-03-13,TCF,USD,"100,000","$100,000",Institute for Philosophical Research,General support
2019-04-03,TCF,USD,"100,000","$100,000",Leverage Research,General support
2019-04-08,BSF,USD,"25,000","$25,000",Americans for Oxford,Unrestricted grant
2019-04-09,BSF,USD,"50,000","$50,000",Leverage Research,Unrestricted grant
2019-04-22,BSF,USD,"350,000","$350,000",Centre for Effective Altruism USA,"Restricted grant to 80,000 Hours"
2019-04-22,BSF,USD,"50,000","$50,000",Future of Life Institute,Unrestricted grant
2019-05-02,direct,GBP,"36,000","$46,978",Private individual in xrisk community,Gift
2019-05-03,direct,USD,"87,595","$87,595",Private individual in xrisk community,Gift
2019-05-03,direct,USD,"87,595","$87,595",Private individual in xrisk community,Gift
2019-05-10,direct,USD,"43,798","$43,798",Private individual in xrisk community,Gift
2019-05-10,direct,EUR,"38,966","$43,780",Private individual in xrisk community,Gift
2019-05-13,TCF,USD,"50,000","$50,000",The Methuselah Foundation,General support
2019-05-14,direct,USD,"35,000","$35,000",Alex Zhu,Regranting program
2019-06-10,BERI,USD,"85,000","$85,000",Social and Environmental Entrepreneurs,General support for Global Catastrophic Risks Institute
2019-06-27,Solenum,EUR,"50,000","$56,829",Tartu Ülikooli Sihtasutus,Annetus Tartu Ülikooli Teaduskooli Fondi (sending science olympiad winners to CFAR)
2019-07-09,direct,USD,"21,000","$21,000",Alex Zhu,Regranting program
2019-07-22,BERI,USD,"5,000","$5,000",Ross Gruetzemacher,Restricted grant for research
2019-07-26,TCF,USD,"100,000","$100,000",Founders for Good,General support
2019-08-08,BERI,USD,"3,188","$3,188",Amritha Jayanti,Restricted grant for research
2019-08-14,BERI,USD,"1,863","$1,863",Siebe Rozendal,Restricted grant for research
2019-08-18,BERI,USD,"300,000","$300,000",Center for Applied Rationality,General support
2019-08-21,direct,USD,"17,700","$17,700",Alex Zhu,Regranting program
2019-08-29,direct,USD,"40,000","$40,000",Alex Zhu,Regranting program
2019-09-05,SFF,USD,"110,000","$110,000",Center for Applied Rationality,General support
2019-09-05,SFF,USD,"130,000","$130,000",Future of Life Institute,General support
2019-09-05,SFF,USD,"60,000","$60,000",Social and Environmental Entrepreneurs,General support for Global Catastrophic Risks Institute
2019-09-09,SFF,USD,"40,000","$40,000","Chancellor, Masters and Scholars of University of Cambridge",General support for Centre for the Study of Existential Risk
2019-09-11,BERI,USD,"2,895","$2,895",Siebe Rozendal,Restricted grant for research
2019-09-17,SFF,USD,"100,000","$100,000",Center for Mindful Learning,General support for OAK (Optimizing Awakening and Kindness)
2019-09-20,BERI,USD,"2,194","$2,194",Amritha Jayanti,Restricted grant for research
2019-09-20,SFF,USD,"260,000","$260,000",Center for Applied Rationality,General support for LessWrong 2.0
2019-09-23,BERI,USD,"2,743","$2,743",Nathaniel Sebastian Cooke,Restricted grant for research
2019-09-23,SFF,USD,"280,000","$280,000",Center for Effective Altruism,"General support for 80,000 Hours"
2019-10-09,BERI,USD,"2,117","$2,117",Amritha Jayanti,Restricted grant for research by Siebe Rozendal
2019-10-15,SFF,USD,"20,000","$20,000",Association for the Advancement of Artificial Intelligence,"General support for AAAI/ACM conference on AI, Ethics and Society (AIES 2019)"
2019-10-15,Solenum,GBP,"100,000","$126,966",University of Cambridge – Gift Registry,Solenum – CSER donation
2019-10-18,BERI,USD,"30,000","$30,000",BERI (CSER),Funds diverted to CSER program
2019-10-21,direct,USD,"4,500","$4,500",Alex Zhu,Regranting program
2019-11-18,Solenum,GBP,"10,000","$12,949",University of Oxford Development Trust,Funding for Jelena Luketina's Oxford PhD
2019-11-20,direct,USD,"19,800","$19,800",Alex Zhu,Regranting program
2019-11-25,direct,USD,"25,000","$25,000",Leverage Research,Donation
2019-12-03,SFF,USD,"30,000","$30,000",Earth Law Center,General support
2019-12-04,SFF,USD,"20,000","$20,000",Association for the Advancement of Artificial Intelligence,"General support for AAAI/ACM conference on AI, Ethics and Society (AIES 2020)"
2019-12-04,SFF,USD,"160,000","$160,000",Longevity Research Institute,General support
2019-12-04,SFF,USD,"70,000","$70,000",Machine Intelligence Research Institute,General support for AI Impacts
2019-12-04,TCF,USD,"50,000","$50,000",Center for Applied Rationality,General support
2019-12-04,TCF,USD,"50,000","$50,000",Leverage Research,General support
2019-12-04,TCF,USD,"30,000","$30,000",Machine Intelligence Research Institute,General support for AI Impacts
2019-12-04,TCF,USD,"150,000","$150,000",Ought,General support
2019-12-05,SFF,USD,"150,000","$150,000",Center for Applied Rationality,General support
2019-12-05,SFF,USD,"60,000","$60,000",Center for Innovative Governance Research,General support for the Charter Cities Institute
2019-12-05,SFF,USD,"100,000","$100,000",Ought,General support
2019-12-05,SFF,USD,"30,000","$30,000",Social and Environmental Entrepreneurs,General support for Global Catastrophic Risks Institute
2019-12-05,SFF,USD,"10,000","$10,000",Social and Environmental Entrepreneurs,General support for Alliance to Feed the Earth in Disasters
2019-12-05,Solenum,EUR,"1,725","$1,913",Solenum (costs),M&G
2019-12-05,TCF,USD,"140,000","$140,000",Longevity Research Institute,General support
2019-12-09,SFF,USD,"40,000","$40,000",Centre for Effective Altruism USA,"General support for 80,000 Hours"
2019-12-12,SFF,USD,"50,000","$50,000",Cambridge in America,"General support for Centre for the Study of Existential Risk, University of Cambridge"
2019-12-12,SFF,USD,"50,000","$50,000",Convergence Analysis,General support for Modeling Cooperation
2019-12-16,FP-UK,USD,"70,000","$70,000","80,000 Hours",General support
2019-12-16,TCF,USD,"130,000","$130,000",The Community Foundation,"For transfer to Denkenberger and Stone Fund, Fund ID tdasf"
2019-12-18,BERI,USD,"150,000","$150,000",BERI (costs),Overhead costs
2019-12-20,FP-UK,USD,"20,000","$20,000",Let's Fund,General support
2019-12-20,FP-UK,USD,"50,000","$50,000",The Future Society,General support
2019-12-24,FP-UK,USD,"20,000","$20,000",Centre for the Study of Existential Risk,"General support for Centre for the Study of Existential Risk, University of Cambridge"
2020-01-10,FP-UK,USD,"20,000","$20,000",Mercatus Center,General support for Jason Crawford
2020-01-10,direct,USD,"8,600","$8,600",Alex Zhu,Regranting program
2020-01-16,SFF,USD,"50,000","$50,000",Median Group,General support
2020-01-16,TCF,USD,"120,000","$120,000",Median Foundation,General support
2020-01-16,direct,USD,"10,000","$10,000",Alex Zhu,Regranting program
2020-01-21,FP-UK,USD,"150,000","$150,000",Topos Institute,General support
2020-01-23,FP-UK,USD,"10,000","$10,000",Association for the Advancement of Artificial Intelligence,"AAAI/ACM conference on AI, Ethics and Society (AIES 2020)"
2020-01-23,FP-UK,USD,"20,000","$20,000",Carnegie Mellon University,General support for Laboratory for Social Minds
2020-02-18,direct,USD,"8,550","$8,550",Alex Zhu,Regranting program
2020-03-02,BERI,USD,"300,000","$300,000",Machine Intelligence Research Institute,Unrestricted grant
2020-03-02,direct,BTC,50,"$437,385",Faculty Science,General support for AI safety research
2020-03-17,direct,USD,"6,850","$6,850",Alex Zhu,Regranting program
2020-03-19,direct,USD,"100,000","$100,000",Metaculus,General support
2020-04-13,direct,USD,"10,000","$10,000",Alex Zhu,Regranting program
2020-04-15,FP-UK,USD,"15,000","$15,000",Columbia University,To support Claudia Shi's work in AI safety during her PHD at Columbia
2020-04-17,FP-UK,USD,"40,000","$40,000",All-Party Parliamentary Group for Future Generations,General support
2020-04-22,direct,USD,"7,253","$7,253",Alex Zhu,Regranting program
2020-04-23,TCF,USD,"25,000","$25,000",Institute for Philosophical Research,General support
2020-05-21,direct,USD,"41,500","$41,500",Alex Zhu,Regranting program
